Episode 167: steps,193, reward,-1282.0, global_total_steps,44876
Episode 168: steps,41, reward,-41.0, global_total_steps,44917
Episode 169: steps,41, reward,-41.0, global_total_steps,44958
Episode 170: steps,33, reward,-33.0, global_total_steps,44991
Episode 171: steps,84, reward,-480.0, global_total_steps,45075
Episode 172: steps,212, reward,-1499.0, global_total_steps,45287
Episode 173: steps,78, reward,-276.0, global_total_steps,45365
Episode 174: steps,470, reward,-3737.0, global_total_steps,45835
Episode 175: steps,141, reward,-933.0, global_total_steps,45976
Episode 176: steps,65, reward,-560.0, global_total_steps,46041
Episode 177: steps,88, reward,-385.0, global_total_steps,46129
Episode 178: steps,214, reward,-1402.0, global_total_steps,46343
Episode 179: steps,129, reward,-624.0, global_total_steps,46472
Episode 180: steps,209, reward,-1298.0, global_total_steps,46681
Episode 181: steps,274, reward,-2056.0, global_total_steps,46955
Episode 182: steps,134, reward,-728.0, global_total_steps,47089
Episode 183: steps,121, reward,-616.0, global_total_steps,47210
Episode 184: steps,37, reward,-37.0, global_total_steps,47247
Episode 185: steps,55, reward,-451.0, global_total_steps,47302
Episode 186: steps,54, reward,-450.0, global_total_steps,47356
Episode 187: steps,43, reward,-43.0, global_total_steps,47399
Episode 188: steps,155, reward,-749.0, global_total_steps,47554
Episode 189: steps,94, reward,-490.0, global_total_steps,47648
Episode 190: steps,314, reward,-2096.0, global_total_steps,47962
Episode 191: steps,57, reward,-255.0, global_total_steps,48019
Episode 192: steps,166, reward,-1156.0, global_total_steps,48185
Episode 193: steps,114, reward,-609.0, global_total_steps,48299
Episode 194: steps,109, reward,-1000.0, global_total_steps,48408
Episode 195: steps,79, reward,-574.0, global_total_steps,48487
Episode 196: steps,59, reward,-158.0, global_total_steps,48546
Episode 197: steps,236, reward,-1424.0, global_total_steps,48782
Episode 198: steps,140, reward,-1130.0, global_total_steps,48922
Episode 199: steps,33, reward,-33.0, global_total_steps,48955
Episode 200: steps,37, reward,-37.0, global_total_steps,48992
Episode 201: steps,35, reward,-35.0, global_total_steps,49027
Episode 202: steps,85, reward,-481.0, global_total_steps,49112
Episode 203: steps,33, reward,-33.0, global_total_steps,49145
Episode 204: steps,108, reward,-900.0, global_total_steps,49253
Episode 205: steps,109, reward,-604.0, global_total_steps,49362
Episode 206: steps,35, reward,-35.0, global_total_steps,49397
Episode 207: steps,97, reward,-790.0, global_total_steps,49494
Episode 208: steps,64, reward,-163.0, global_total_steps,49558
Episode 209: steps,37, reward,-136.0, global_total_steps,49595
Episode 210: steps,91, reward,-388.0, global_total_steps,49686
Episode 211: steps,164, reward,-1550.0, global_total_steps,49850
Episode 212: steps,52, reward,-250.0, global_total_steps,49902
Episode 213: steps,127, reward,-523.0, global_total_steps,50029
Episode 214: steps,58, reward,-454.0, global_total_steps,50087
Episode 215: steps,69, reward,-267.0, global_total_steps,50156
Episode 216: steps,143, reward,-1034.0, global_total_steps,50299
Episode 217: steps,144, reward,-1035.0, global_total_steps,50443
Episode 218: steps,89, reward,-485.0, global_total_steps,50532
Episode 219: steps,140, reward,-635.0, global_total_steps,50672
Episode 220: steps,35, reward,-35.0, global_total_steps,50707
Episode 221: steps,125, reward,-620.0, global_total_steps,50832
Episode 222: steps,75, reward,-669.0, global_total_steps,50907
Episode 223: steps,187, reward,-1177.0, global_total_steps,51094
Episode 224: steps,69, reward,-267.0, global_total_steps,51163
Episode 225: steps,84, reward,-480.0, global_total_steps,51247
Episode 226: steps,347, reward,-2327.0, global_total_steps,51594
Episode 227: steps,66, reward,-363.0, global_total_steps,51660
Episode 228: steps,108, reward,-702.0, global_total_steps,51768
Episode 229: steps,37, reward,-37.0, global_total_steps,51805
Episode 230: steps,167, reward,-1355.0, global_total_steps,51972
Episode 231: steps,35, reward,-35.0, global_total_steps,52007
Episode 232: steps,126, reward,-621.0, global_total_steps,52133
Episode 233: steps,250, reward,-1834.0, global_total_steps,52383
Episode 234: steps,106, reward,-601.0, global_total_steps,52489
Episode 235: steps,35, reward,-35.0, global_total_steps,52524
Episode 236: steps,85, reward,-382.0, global_total_steps,52609
Episode 237: steps,43, reward,-241.0, global_total_steps,52652
Episode 238: steps,77, reward,-374.0, global_total_steps,52729
Episode 239: steps,44, reward,-143.0, global_total_steps,52773
Episode 240: steps,80, reward,-377.0, global_total_steps,52853
Episode 241: steps,312, reward,-2391.0, global_total_steps,53165
Episode 242: steps,54, reward,-252.0, global_total_steps,53219
Episode 243: steps,63, reward,-360.0, global_total_steps,53282
Episode 244: steps,89, reward,-287.0, global_total_steps,53371
Episode 245: steps,33, reward,-33.0, global_total_steps,53404
Episode 246: steps,63, reward,-261.0, global_total_steps,53467
Episode 247: steps,78, reward,-375.0, global_total_steps,53545
Episode 248: steps,31, reward,-31.0, global_total_steps,53576
Episode 249: steps,31, reward,-31.0, global_total_steps,53607
Episode 250: steps,153, reward,-846.0, global_total_steps,53760
Episode 251: steps,270, reward,-1854.0, global_total_steps,54030
Episode 252: steps,52, reward,-349.0, global_total_steps,54082
Episode 253: steps,65, reward,-560.0, global_total_steps,54147
Episode 254: steps,122, reward,-1013.0, global_total_steps,54269
Episode 255: steps,176, reward,-1166.0, global_total_steps,54445
Episode 256: steps,31, reward,-31.0, global_total_steps,54476
Episode 257: steps,33, reward,-33.0, global_total_steps,54509
Episode 258: steps,33, reward,-33.0, global_total_steps,54542
Episode 259: steps,33, reward,-33.0, global_total_steps,54575
Episode 260: steps,137, reward,-1127.0, global_total_steps,54712
Episode 261: steps,102, reward,-597.0, global_total_steps,54814
Episode 262: steps,99, reward,-594.0, global_total_steps,54913
Episode 263: steps,37, reward,-37.0, global_total_steps,54950
Episode 264: steps,44, reward,-242.0, global_total_steps,54994
Episode 265: steps,31, reward,-31.0, global_total_steps,55025
Episode 266: steps,69, reward,-267.0, global_total_steps,55094
Episode 267: steps,33, reward,-33.0, global_total_steps,55127
Episode 268: steps,105, reward,-600.0, global_total_steps,55232
Episode 269: steps,78, reward,-276.0, global_total_steps,55310
Episode 270: steps,99, reward,-594.0, global_total_steps,55409
Episode 271: steps,40, reward,-238.0, global_total_steps,55449
Episode 272: steps,38, reward,-38.0, global_total_steps,55487
Episode 273: steps,96, reward,-690.0, global_total_steps,55583
Episode 274: steps,77, reward,-374.0, global_total_steps,55660
Episode 275: steps,109, reward,-505.0, global_total_steps,55769
Episode 276: steps,49, reward,-247.0, global_total_steps,55818
Episode 277: steps,96, reward,-492.0, global_total_steps,55914
Episode 278: steps,76, reward,-571.0, global_total_steps,55990
Episode 279: steps,96, reward,-789.0, global_total_steps,56086
Episode 280: steps,68, reward,-365.0, global_total_steps,56154
Episode 281: steps,107, reward,-602.0, global_total_steps,56261
Episode 282: steps,117, reward,-909.0, global_total_steps,56378
Episode 283: steps,43, reward,-142.0, global_total_steps,56421
Episode 284: steps,75, reward,-372.0, global_total_steps,56496
Episode 285: steps,183, reward,-1173.0, global_total_steps,56679
Episode 286: steps,33, reward,-33.0, global_total_steps,56712
Episode 287: steps,169, reward,-961.0, global_total_steps,56881
Episode 288: steps,153, reward,-1341.0, global_total_steps,57034
Episode 289: steps,53, reward,-152.0, global_total_steps,57087
Episode 290: steps,133, reward,-826.0, global_total_steps,57220
Episode 291: steps,44, reward,-143.0, global_total_steps,57264
Episode 292: steps,51, reward,-348.0, global_total_steps,57315
Episode 293: steps,232, reward,-1915.0, global_total_steps,57547
Episode 294: steps,97, reward,-592.0, global_total_steps,57644
Episode 295: steps,46, reward,-145.0, global_total_steps,57690
Episode 296: steps,33, reward,-33.0, global_total_steps,57723
Episode 297: steps,67, reward,-364.0, global_total_steps,57790
Episode 298: steps,189, reward,-1080.0, global_total_steps,57979
Episode 299: steps,246, reward,-1731.0, global_total_steps,58225
Episode 300: steps,84, reward,-381.0, global_total_steps,58309
Episode 301: steps,149, reward,-1139.0, global_total_steps,58458
Episode 302: steps,70, reward,-268.0, global_total_steps,58528
Episode 303: steps,33, reward,-33.0, global_total_steps,58561
Episode 304: steps,52, reward,-448.0, global_total_steps,58613
Episode 305: steps,31, reward,-31.0, global_total_steps,58644
Episode 306: steps,42, reward,-240.0, global_total_steps,58686
Episode 307: steps,38, reward,-137.0, global_total_steps,58724
Episode 308: steps,35, reward,-35.0, global_total_steps,58759
Episode 309: steps,31, reward,-31.0, global_total_steps,58790
Episode 310: steps,61, reward,-259.0, global_total_steps,58851
Episode 311: steps,117, reward,-909.0, global_total_steps,58968
Episode 312: steps,38, reward,-137.0, global_total_steps,59006
Episode 313: steps,91, reward,-388.0, global_total_steps,59097
Episode 314: steps,39, reward,-138.0, global_total_steps,59136
Episode 315: steps,88, reward,-484.0, global_total_steps,59224
Episode 316: steps,69, reward,-267.0, global_total_steps,59293
Episode 317: steps,43, reward,-241.0, global_total_steps,59336
Episode 318: steps,142, reward,-1033.0, global_total_steps,59478
Episode 319: steps,43, reward,-142.0, global_total_steps,59521
Episode 320: steps,150, reward,-744.0, global_total_steps,59671
Episode 321: steps,167, reward,-959.0, global_total_steps,59838
Episode 322: steps,65, reward,-263.0, global_total_steps,59903
Episode 323: steps,33, reward,-33.0, global_total_steps,59936
Episode 324: steps,59, reward,-257.0, global_total_steps,59995
Episode 325: steps,67, reward,-265.0, global_total_steps,60062
Episode 326: steps,35, reward,-134.0, global_total_steps,60097
Episode 327: steps,118, reward,-613.0, global_total_steps,60215
Episode 328: steps,33, reward,-33.0, global_total_steps,60248
Episode 329: steps,61, reward,-457.0, global_total_steps,60309
Episode 330: steps,51, reward,-348.0, global_total_steps,60360
Episode 331: steps,80, reward,-476.0, global_total_steps,60440
Episode 332: steps,127, reward,-820.0, global_total_steps,60567
Episode 333: steps,83, reward,-380.0, global_total_steps,60650
Episode 334: steps,31, reward,-31.0, global_total_steps,60681
Episode 335: steps,224, reward,-1214.0, global_total_steps,60905
Episode 336: steps,42, reward,-141.0, global_total_steps,60947
Episode 337: steps,107, reward,-503.0, global_total_steps,61054
Episode 338: steps,210, reward,-1596.0, global_total_steps,61264
Episode 339: steps,209, reward,-1397.0, global_total_steps,61473
Episode 340: steps,65, reward,-164.0, global_total_steps,61538
Episode 341: steps,33, reward,-33.0, global_total_steps,61571
Episode 342: steps,38, reward,-137.0, global_total_steps,61609
Episode 343: steps,39, reward,-39.0, global_total_steps,61648
Episode 344: steps,35, reward,-35.0, global_total_steps,61683
Episode 345: steps,35, reward,-134.0, global_total_steps,61718
Episode 346: steps,62, reward,-260.0, global_total_steps,61780
Episode 347: steps,31, reward,-31.0, global_total_steps,61811
Episode 348: steps,205, reward,-1096.0, global_total_steps,62016
Episode 349: steps,47, reward,-146.0, global_total_steps,62063
Episode 350: steps,45, reward,-144.0, global_total_steps,62108
Episode 351: steps,105, reward,-897.0, global_total_steps,62213
Episode 352: steps,35, reward,-35.0, global_total_steps,62248
Episode 353: steps,73, reward,-370.0, global_total_steps,62321
Episode 354: steps,33, reward,-33.0, global_total_steps,62354
Episode 355: steps,31, reward,-31.0, global_total_steps,62385
Episode 356: steps,140, reward,-1229.0, global_total_steps,62525
Episode 357: steps,213, reward,-1500.0, global_total_steps,62738
Episode 358: steps,70, reward,-466.0, global_total_steps,62808
Episode 359: steps,33, reward,-33.0, global_total_steps,62841
Episode 360: steps,188, reward,-1376.0, global_total_steps,63029
Episode 361: steps,71, reward,-368.0, global_total_steps,63100
