Episode 420: steps = 44, reward = -143.0, global_total_steps = 31168
Episode 421: steps = 22, reward = -22.0, global_total_steps = 31190
Episode 422: steps = 26, reward = -125.0, global_total_steps = 31216
Episode 423: steps = 35, reward = -134.0, global_total_steps = 31251
Episode 424: steps = 72, reward = -369.0, global_total_steps = 31323
Episode 425: steps = 54, reward = -549.0, global_total_steps = 31377
Episode 426: steps = 24, reward = -123.0, global_total_steps = 31401
Episode 427: steps = 24, reward = -24.0, global_total_steps = 31425
Episode 428: steps = 45, reward = -243.0, global_total_steps = 31470
Episode 429: steps = 29, reward = -128.0, global_total_steps = 31499
Episode 430: steps = 40, reward = -139.0, global_total_steps = 31539
Episode 431: steps = 35, reward = -134.0, global_total_steps = 31574
Episode 432: steps = 59, reward = -257.0, global_total_steps = 31633
Episode 433: steps = 24, reward = -24.0, global_total_steps = 31657
Episode 434: steps = 22, reward = -22.0, global_total_steps = 31679
Episode 435: steps = 35, reward = -134.0, global_total_steps = 31714
Episode 436: steps = 50, reward = -248.0, global_total_steps = 31764
Episode 437: steps = 85, reward = -778.0, global_total_steps = 31849
Episode 438: steps = 55, reward = -253.0, global_total_steps = 31904
Episode 439: steps = 22, reward = -22.0, global_total_steps = 31926
Episode 440: steps = 58, reward = -454.0, global_total_steps = 31984
Episode 441: steps = 31, reward = -130.0, global_total_steps = 32015
Episode 442: steps = 56, reward = -254.0, global_total_steps = 32071
Episode 443: steps = 33, reward = -132.0, global_total_steps = 32104
Episode 444: steps = 53, reward = -350.0, global_total_steps = 32157
Episode 445: steps = 30, reward = -30.0, global_total_steps = 32187
Episode 446: steps = 22, reward = -22.0, global_total_steps = 32209
Episode 447: steps = 66, reward = -363.0, global_total_steps = 32275
Episode 448: steps = 34, reward = -331.0, global_total_steps = 32309
Episode 449: steps = 34, reward = -232.0, global_total_steps = 32343
